R#,PLAYER,ADP,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
1,Nikola Jokic,2.1,C,DEN,72,35.1,0.573(10.5/18.3),0.816(5.6/6.8),1.8,28.4,12.7,10.4,1.6,0.7,3.5,15.9
2,Victor Wembanyama,1.6,C,SA,66,30.4,0.502(9.2/18.3),0.831(5.1/6.1),2.2,25.6,11.8,3.6,1.1,3.2,2.9,14.25
3,Shai Gilgeous-Alexander,4.6,PG,OKC,71,33.5,0.534(11.1/20.7),0.889(8.0/8.9),1.9,32.1,4.7,6.5,1.6,0.9,2.3,14.1
4,Luka Doncic,3.8,"PG,SG",LAL,68,35.4,0.465(10.6/22.9),0.781(7.5/9.6),4,32.7,8.7,8.8,1.7,0.5,4,10.86
5,Giannis Antetokounmpo,8.8,"PF,C",MIA,69,34.2,0.608(12.1/19.9),0.628(6.9/11.0),0.3,31.4,11.9,6.5,1,1.1,3.3,10.26
6,Cade Cunningham,6.7,"PG,SG",DET,68,33.9,0.466(9.2/19.7),0.826(4.6/5.6),2,25,5.8,9.8,1.3,0.8,4.1,7.71
7,Jayson Tatum,10.5,"SF,PF",BOS,68,33.7,0.464(9.0/19.4),0.815(4.8/5.8),3.3,26.1,8.8,6.1,1.2,0.5,2.8,7.61
8,Anthony Edwards,9.9,"PG,SG",MIN,74,35.3,0.487(9.7/20.0),0.818(5.4/6.6),3.7,28.7,5.6,3.5,1.2,0.7,3,7.54
9,Tyrese Maxey,9.3,PG,PHI,70,36.1,0.458(8.4/18.2),0.885(4.6/5.2),2.8,24.2,3.4,5.8,1.8,0.5,2.2,7.5
10,Stephen Curry,24.5,PG,GS,60,31.6,0.456(8.4/18.3),0.929(4.3/4.6),4.4,25.4,3.6,5.2,1,0.4,2.9,7.43
11,Kevin Durant,17.3,"SG,SF,PF",HOU,70,34.6,0.523(8.8/16.8),0.860(4.8/5.6),2.3,24.7,5.4,4.3,0.8,1,2.9,7.17
